df_Address,complete_address,province,latitudes,longitudes,counts
ACE Dumaguete Doctors,"ACE Dumaguete Doctors, Claytown Road, Claytown, Dumaguete, Negros Oriental, Central Visayas, 6200, Philippines",Negros Oriental,9.3173584,123.2959732,1
ACE Medical Center - Bohol,"ACE Medical Center, Carlos P. Garcia East Avenue, Camella Homes, Sitio Ubos, Bool, Bohol, Central Visayas, 6390, Philippines",Bohol,9.6344977,123.8692981,1
ACE Medical Center - Pateros,"Allied Care Experts (ACE) Medical Center, P. Herrera, Pateros Town Proper (Bayan), Poblacion, Pateros, Metro Manila, 1620, Philippines",Metropolitan Manila,14.5440845,121.0652174,1
Adventist Medical Center - Manila,"Adventist Medical Center Manila, 1945, Donada, Barangay 36, Zone 3, Pasay, District 1, Pasay, Metro Manila, 1300, Philippines",Metropolitan Manila,14.55602185,120.9953013915066,3
Alabang Medical Clinic,"Alabang Medical Clinic, Country Drive, Country Homes Alabang, Putatan, Muntinlupa, Metro Manila, 1770, Philippines",Metropolitan Manila,14.3910351,121.0443189,1
Amai Pakpak Medical Center,"Amai Pakpak Medical Center, Amai Pakpak Avenue, Marawi, Lanao del Sur, Bangsamoro Autonomous Region in Muslim Mindanao, 09700, Philippines",Lanao del Sur,8.004723649999999,124.2835538892562,3
Amang Rodriguez Memorial Medical Center,"Amang Rodriguez Memorial Medical Center, Don Juan Sumulong, Santo Niño, Marikina, Metro Manila, 1800, Philippines",Metropolitan Manila,14.636145249999998,121.09845651491982,1
Angono Medics Hospital,"Angono Medics Hospital, M L Quezon Avenue, Nieves Hills, Mabato, San Isidro, Rizal, Calabarzon, 1930, Philippines",Rizal,14.5314111,121.1529110057553,1
Antipolo City Health Office,"City Health Office, M. Santos, San Roque, Antipolo, Rizal, Calabarzon, 1870, Philippines",Rizal,14.58572685,121.17446573996165,2
Armed Forces of the Philippines Medical Center,"Armed Forces of the Philippines Medical Center, V. Luna Avenue, East Triangle, Pinyahan, Quezon City, 4th District, Quezon City, Metro Manila, 1100, Philippines",Metropolitan Manila,14.63468575,121.05210336549419,2
Asian Hospital and Medical Center,"Asian Hospital and Medical Center, 2205, Civic Drive, Alabang, Muntinlupa, Metro Manila, 1781, Philippines",Metropolitan Manila,14.41318165,121.04355553786556,42
Athlete's Village,"Athlete's Village, Cristo Rey, Tarlac, Central Luzon, 2023, Philippines",Tarlac,15.34300985,120.533940575,2
Baguio General Hospital and Medical Center,"Baguio General Hospital & Medical Center, Kennon Road, Poliwes, Baguio City, Benguet, Cordillera Administrative Region, 2600, Philippines",Benguet,16.4011964,120.59612393285582,3
Bataan General Hospital and Medical Center,"Bataan General Hospital and Medical Center, Manahan St., Bernabe Compound, Balanga, Bataan, Central Luzon, 2100, Philippines",Bataan,14.6782571,120.53021274307176,2
Bataan St. Joseph Hospital and Medical Center,"Bataan St. Joseph Hospital and Medical Center, Don Manuel Banzon Avenue, Poblacion, Balanga, Bataan, Central Luzon, 2100, Philippines",Bataan,14.6814951,120.5416046,1
Bicol Medical Center,"Bicol Medical Center, Hospital Loop Road, Naga City Subdivision, Naga, Camarines Sur, Bicol, 4400, Philippines",Camarines Sur,13.622872,123.1986884,1
Bicol Regional Training and Teaching Hospital,"Bicol Regional Training and Teaching Hospital, Rizal Avenue, London, Sagpon Poblacion, Legazpi, Albay, Bicol, 4500, Philippines",Albay,13.1467314,123.72438469737428,2
Binakayan Hospital and Medical Center,"Binakayan Hospital and Medical Center, Covelandia Road, Pulvorista, Kawit, Cavite, Calabarzon, 4102, Philippines",Cavite,14.4519604,120.9260881,1
Binangonan Lakeview Hospital,"Binangonan Lakeview Hospital, Manila East Road, Sitio Sapa, Mabato, Tayuman, Rizal, Calabarzon, 1930, Philippines",Rizal,14.50253955,121.17005965520835,1
Cagayan Valley Medical Center,"Cagayan Valley Medical Center, Dalan na Pagayaya, Cagayan Valley Regional Government Center, Caggay, Tuguegarao, Cagayan, Cagayan Valley, 3500, Philippines",Cagayan,17.6562367,121.74813210188074,4
Camp Vicente Lim,"Camp Vicente Lim, Mayapa, Calamba, Laguna, Calabarzon, 4029, Philippines",Laguna,14.2156332,121.12148261443787,1
Capitol Medical Center,"Capitol Medical Center, Scout Magbanua, Heroes Hill, Paligsahan, Scout Area, 4th District, Quezon City, Metro Manila, 1103, Philippines",Metropolitan Manila,14.634329,121.0226836,5
Cardinal Santos Medical Center,"Cardinal Santos Medical Center, 10, Wilson, The Alvendia by Rockwell, Greenhills, Addition Hills, 2nd District, San Juan, Metro Manila, 1502, Philippines",Metropolitan Manila,14.597435,121.04599574684656,57
Cavite Medical Center,"Cavite Medical Center, Manila-Cavite Road, Long Beach Village, Noveleta, Cavite, Calabarzon, Philippines",Cavite,14.463396,120.8818959425312,1
Chinese General Hospital and Medical Center,"Chinese General Hospital and Medical Center, Ferdinand Blumentritt, Paang Bundok, La Loma, 4th District, Manila, Metro Manila, 1014, Philippines",Metropolitan Manila,14.6263106,120.98779066908772,15
Chong Hua Hospital,"Chong Hua Hospital, M. Cui Street, Sacred Village, Sambag II, Cebu City, Cebu, Central Visayas, 6000, Philippines",Cebu,10.310072550000001,123.8913431005355,1
City of General Trias Doctors Medical Center,"City Of General Trias Doctors Medical Center, Governor's Drive, Gentri Heghts, Manggahan, General Trias, Cavite, Calabarzon, 4107, Philippines",Cavite,14.2912185,120.90387619553523,2
